NAME	TITLE	SCORE	
MTSS1	MTSS I-BAR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20443]	4.7931194	
CRYM	crystallin mu [Source:HGNC Symbol;Acc:HGNC:2418]	4.685802	
KLHL38	kelch like family member 38 [Source:HGNC Symbol;Acc:HGNC:34435]	4.67983	
NTN1	netrin 1 [Source:HGNC Symbol;Acc:HGNC:8029]	4.6763954	
PTGES	prostaglandin E synthase [Source:HGNC Symbol;Acc:HGNC:9599]	4.6298127	
CHI3L2	chitinase 3 like 2 [Source:HGNC Symbol;Acc:HGNC:1933]	4.5706797	
NRROS	negative regulator of reactive oxygen species [Source:HGNC Symbol;Acc:HGNC:24613]	4.5383325	
VWCE	von Willebrand factor C and EGF domains [Source:HGNC Symbol;Acc:HGNC:26487]	4.4938035	
SULT1C2	sulfotransferase family 1C member 2 [Source:HGNC Symbol;Acc:HGNC:11456]	4.45018	
CYP7B1	cytochrome P450 family 7 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:2652]	4.448618	
RIPOR3	RIPOR family member 3 [Source:HGNC Symbol;Acc:HGNC:16168]	4.440604	
FBXO32	F-box protein 32 [Source:HGNC Symbol;Acc:HGNC:16731]	4.3998218	
GADD45G	growth arrest and DNA damage inducible gamma [Source:HGNC Symbol;Acc:HGNC:4097]	4.391141	
THEMIS2	thymocyte selection associated family member 2 [Source:HGNC Symbol;Acc:HGNC:16839]	4.3259478	
SSTR2	somatostatin receptor 2 [Source:HGNC Symbol;Acc:HGNC:11331]	4.28732	
KCNJ2	potassium inwardly rectifying channel subfamily J member 2 [Source:HGNC Symbol;Acc:HGNC:6263]	4.277174	
ARL4C	ADP ribosylation factor like GTPase 4C [Source:HGNC Symbol;Acc:HGNC:698]	4.2342935	
TXLNB	taxilin beta [Source:HGNC Symbol;Acc:HGNC:21617]	4.2287173	
PLA2G4C	phospholipase A2 group IVC [Source:HGNC Symbol;Acc:HGNC:9037]	4.1732244	
CADM4	cell adhesion molecule 4 [Source:HGNC Symbol;Acc:HGNC:30825]	4.1626205	
SLC52A1	solute carrier family 52 member 1 [Source:HGNC Symbol;Acc:HGNC:30225]	4.149994	
ETV7	ETS variant transcription factor 7 [Source:HGNC Symbol;Acc:HGNC:18160]	4.141488	
IFIH1	interferon induced with helicase C domain 1 [Source:HGNC Symbol;Acc:HGNC:18873]	4.138871	
YPEL4	yippee like 4 [Source:HGNC Symbol;Acc:HGNC:18328]	4.1201234	
PLAAT3	phospholipase A and acyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:17825]	4.113066	
CXCL16	C-X-C motif chemokine ligand 16 [Source:HGNC Symbol;Acc:HGNC:16642]	4.0802407	
NFATC2	nuclear factor of activated T cells 2 [Source:HGNC Symbol;Acc:HGNC:7776]	4.060194	
RAB39B	RAB39B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:16499]	4.0024414	
CYFIP2	cytoplasmic FMR1 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:13760]	4.0022078	
BTC	betacellulin [Source:HGNC Symbol;Acc:HGNC:1121]	3.9947798	
RBP7	retinol binding protein 7 [Source:HGNC Symbol;Acc:HGNC:30316]	3.9717793	
BATF2	basic leucine zipper ATF-like transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:25163]	3.9582357	
AK7	adenylate kinase 7 [Source:HGNC Symbol;Acc:HGNC:20091]	3.9171946	
FZD5	frizzled class receptor 5 [Source:HGNC Symbol;Acc:HGNC:4043]	3.912664	
SPTBN2	spectrin beta, non-erythrocytic 2 [Source:HGNC Symbol;Acc:HGNC:11276]	3.8775923	
NR4A3	nuclear receptor subfamily 4 group A member 3 [Source:HGNC Symbol;Acc:HGNC:7982]	3.8599734	
PHACTR1	phosphatase and actin regulator 1 [Source:HGNC Symbol;Acc:HGNC:20990]	3.8503525	
PNMA3	PNMA family member 3 [Source:HGNC Symbol;Acc:HGNC:18742]	3.8206148	
EBI3	Epstein-Barr virus induced 3 [Source:HGNC Symbol;Acc:HGNC:3129]	3.8192728	
RRAD	RRAD, Ras related glycolysis inhibitor and calcium channel regulator [Source:HGNC Symbol;Acc:HGNC:10446]	3.8019953	
PARM1	prostate androgen-regulated mucin-like protein 1 [Source:HGNC Symbol;Acc:HGNC:24536]	3.7868705	
TMEM132A	transmembrane protein 132A [Source:HGNC Symbol;Acc:HGNC:31092]	3.7805712	
RRAGD	Ras related GTP binding D [Source:HGNC Symbol;Acc:HGNC:19903]	3.7729146	
HSPA1A	heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol;Acc:HGNC:5232]	3.7659438	
CES3	carboxylesterase 3 [Source:HGNC Symbol;Acc:HGNC:1865]	3.7306974	
EBF4	EBF family member 4 [Source:HGNC Symbol;Acc:HGNC:29278]	3.7189019	
LRRC3C	leucine rich repeat containing 3C [Source:HGNC Symbol;Acc:HGNC:40034]	3.7181373	
LONRF3	LON peptidase N-terminal domain and ring finger 3 [Source:HGNC Symbol;Acc:HGNC:21152]	3.6845963	
TTC39A	tetratricopeptide repeat domain 39A [Source:HGNC Symbol;Acc:HGNC:18657]	3.6760833	
CATIP	ciliogenesis associated TTC17 interacting protein [Source:HGNC Symbol;Acc:HGNC:25062]	3.665025	
PPARGC1B	PPARG coactivator 1 beta [Source:HGNC Symbol;Acc:HGNC:30022]	3.654458	
KCNJ11	potassium inwardly rectifying channel subfamily J member 11 [Source:HGNC Symbol;Acc:HGNC:6257]	3.6431975	
SVIL	supervillin [Source:HGNC Symbol;Acc:HGNC:11480]	3.6139607	
CLU	clusterin [Source:HGNC Symbol;Acc:HGNC:2095]	3.6031742	
RELB	RELB proto-oncogene, NF-kB subunit [Source:HGNC Symbol;Acc:HGNC:9956]	3.600003	
BHMT2	betaine--homocysteine S-methyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:1048]	3.5845182	
CD74	CD74 molecule [Source:HGNC Symbol;Acc:HGNC:1697]	3.5776405	
OVGP1	oviductal glycoprotein 1 [Source:HGNC Symbol;Acc:HGNC:8524]	3.549453	
C1QTNF1	C1q and TNF related 1 [Source:HGNC Symbol;Acc:HGNC:14324]	3.5388227	
STAP2	signal transducing adaptor family member 2 [Source:HGNC Symbol;Acc:HGNC:30430]	3.527376	
CYP1A1	cytochrome P450 family 1 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2595]	3.5174377	
GPX3	glutathione peroxidase 3 [Source:HGNC Symbol;Acc:HGNC:4555]	3.5125613	
WSCD1	WSC domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29060]	3.507227	
KCNQ1	potassium voltage-gated channel subfamily Q member 1 [Source:HGNC Symbol;Acc:HGNC:6294]	3.4529378	
WHRN	whirlin [Source:HGNC Symbol;Acc:HGNC:16361]	3.4465773	
ITPR1	inositol 1,4,5-trisphosphate receptor type 1 [Source:HGNC Symbol;Acc:HGNC:6180]	3.4419796	
TIGD3	tigger transposable element derived 3 [Source:HGNC Symbol;Acc:HGNC:18334]	3.4375749	
ICAM1	intercellular adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5344]	3.4053187	
KANK3	KN motif and ankyrin repeat domains 3 [Source:HGNC Symbol;Acc:HGNC:24796]	3.397748	
LRP1B	LDL receptor related protein 1B [Source:HGNC Symbol;Acc:HGNC:6693]	3.3931417	
N4BP2L1	NEDD4 binding protein 2 like 1 [Source:HGNC Symbol;Acc:HGNC:25037]	3.3922694	
FBXW10	F-box and WD repeat domain containing 10 [Source:HGNC Symbol;Acc:HGNC:1211]	3.3631697	
CCDC170	coiled-coil domain containing 170 [Source:HGNC Symbol;Acc:HGNC:21177]	3.3570738	
KLHL21	kelch like family member 21 [Source:HGNC Symbol;Acc:HGNC:29041]	3.355682	
FTH1P10	ferritin heavy chain 1 pseudogene 10 [Source:HGNC Symbol;Acc:HGNC:3980]	3.3501415	
NOD2	nucleotide binding oligomerization domain containing 2 [Source:HGNC Symbol;Acc:HGNC:5331]	3.3418443	
SCPEP1	serine carboxypeptidase 1 [Source:HGNC Symbol;Acc:HGNC:29507]	3.338371	
DPP4	dipeptidyl peptidase 4 [Source:HGNC Symbol;Acc:HGNC:3009]	3.3317206	
VWA5B2	von Willebrand factor A domain containing 5B2 [Source:HGNC Symbol;Acc:HGNC:25144]	3.3273199	
IFI44L	interferon induced protein 44 like [Source:HGNC Symbol;Acc:HGNC:17817]	3.3103008	
FBXO2	F-box protein 2 [Source:HGNC Symbol;Acc:HGNC:13581]	3.3101802	
ATF3	activating transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:785]	3.30506	
FLVCR2	FLVCR heme transporter 2 [Source:HGNC Symbol;Acc:HGNC:20105]	3.2852542	
KCNF1	potassium voltage-gated channel modifier subfamily F member 1 [Source:HGNC Symbol;Acc:HGNC:6246]	3.284814	
PARD6G	par-6 family cell polarity regulator gamma [Source:HGNC Symbol;Acc:HGNC:16076]	3.2845533	
SDK1	sidekick cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:19307]	3.2801173	
SMPD5	sphingomyelin phosphodiesterase 5 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:52275]	3.2785764	
ERC2	ELKS/RAB6-interacting/CAST family member 2 [Source:HGNC Symbol;Acc:HGNC:31922]	3.2780871	
ABHD4	abhydrolase domain containing 4, N-acyl phospholipase B [Source:HGNC Symbol;Acc:HGNC:20154]	3.275729	
TCEAL7	transcription elongation factor A like 7 [Source:HGNC Symbol;Acc:HGNC:28336]	3.2756855	
PARD6A	par-6 family cell polarity regulator alpha [Source:HGNC Symbol;Acc:HGNC:15943]	3.2669272	
TIMP4	TIMP metallopeptidase inhibitor 4 [Source:HGNC Symbol;Acc:HGNC:11823]	3.2576523	
C3	complement C3 [Source:HGNC Symbol;Acc:HGNC:1318]	3.2563684	
STX3	syntaxin 3 [Source:HGNC Symbol;Acc:HGNC:11438]	3.2563446	
TNFRSF10A	TNF receptor superfamily member 10a [Source:HGNC Symbol;Acc:HGNC:11904]	3.254185	
ACER2	alkaline ceramidase 2 [Source:HGNC Symbol;Acc:HGNC:23675]	3.2540827	
PCSK4	proprotein convertase subtilisin/kexin type 4 [Source:HGNC Symbol;Acc:HGNC:8746]	3.2525036	
CTSD	cathepsin D [Source:HGNC Symbol;Acc:HGNC:2529]	3.2516947	
BTN3A3	butyrophilin subfamily 3 member A3 [Source:HGNC Symbol;Acc:HGNC:1140]	3.2346168	
SLC9A9	solute carrier family 9 member A9 [Source:HGNC Symbol;Acc:HGNC:20653]	3.2322035	
MCC	MCC regulator of WNT signaling pathway [Source:HGNC Symbol;Acc:HGNC:6935]	3.2289913	
MYO16	myosin XVI [Source:HGNC Symbol;Acc:HGNC:29822]	3.2239044	
TP53INP1	tumor protein p53 inducible nuclear protein 1 [Source:HGNC Symbol;Acc:HGNC:18022]	3.2226915	
NAT8L	N-acetyltransferase 8 like [Source:HGNC Symbol;Acc:HGNC:26742]	3.2211628	
PTCHD4	patched domain containing 4 [Source:HGNC Symbol;Acc:HGNC:21345]	3.2177908	
HSPB8	heat shock protein family B (small) member 8 [Source:HGNC Symbol;Acc:HGNC:30171]	3.2144437	
HID1	HID1 domain containing [Source:HGNC Symbol;Acc:HGNC:15736]	3.2109425	
TNFRSF10C	TNF receptor superfamily member 10c [Source:HGNC Symbol;Acc:HGNC:11906]	3.2074807	
SLC12A7	solute carrier family 12 member 7 [Source:HGNC Symbol;Acc:HGNC:10915]	3.1960063	
OR10AC1	olfactory receptor family 10 subfamily AC member 1 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:14758]	3.1933012	
CERS1	ceramide synthase 1 [Source:HGNC Symbol;Acc:HGNC:14253]	3.1847827	
