NAME	TITLE	SCORE	
GPR37L1	G protein-coupled receptor 37 like 1 [Source:HGNC Symbol;Acc:HGNC:14923]	4.878861	
MRGPRE	MAS related GPR family member E [Source:HGNC Symbol;Acc:HGNC:30694]	4.756648	
SST	somatostatin [Source:HGNC Symbol;Acc:HGNC:11329]	4.6987424	
NTN1	netrin 1 [Source:HGNC Symbol;Acc:HGNC:8029]	4.555252	
RETREG1	reticulophagy regulator 1 [Source:HGNC Symbol;Acc:HGNC:25964]	4.5397835	
CDS1	CDP-diacylglycerol synthase 1 [Source:HGNC Symbol;Acc:HGNC:1800]	4.432669	
MTSS1	MTSS I-BAR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20443]	4.4213347	
IFNLR1	interferon lambda receptor 1 [Source:HGNC Symbol;Acc:HGNC:18584]	4.4031	
SH2D3C	SH2 domain containing 3C [Source:HGNC Symbol;Acc:HGNC:16884]	4.363367	
MAFB	MAF bZIP transcription factor B [Source:HGNC Symbol;Acc:HGNC:6408]	4.296601	
HAP1	huntingtin associated protein 1 [Source:HGNC Symbol;Acc:HGNC:4812]	4.294866	
RRAGD	Ras related GTP binding D [Source:HGNC Symbol;Acc:HGNC:19903]	4.281795	
CATSPERZ	catsper channel auxiliary subunit zeta [Source:HGNC Symbol;Acc:HGNC:19231]	4.128531	
CEACAMP10	CEA cell adhesion molecule pseudogene 10 [Source:HGNC Symbol;Acc:HGNC:1822]	4.1187067	
CD7	CD7 molecule [Source:HGNC Symbol;Acc:HGNC:1695]	4.1042614	
HSPA12B	heat shock protein family A (Hsp70) member 12B [Source:HGNC Symbol;Acc:HGNC:16193]	4.0451307	
BATF3	basic leucine zipper ATF-like transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:28915]	4.0088387	
SEMA6B	semaphorin 6B [Source:HGNC Symbol;Acc:HGNC:10739]	4.006049	
SHISAL1	shisa like 1 [Source:HGNC Symbol;Acc:HGNC:29335]	3.9961164	
SEMA4D	semaphorin 4D [Source:HGNC Symbol;Acc:HGNC:10732]	3.9049983	
F11R	F11 receptor [Source:HGNC Symbol;Acc:HGNC:14685]	3.885677	
ITPKB	inositol-trisphosphate 3-kinase B [Source:HGNC Symbol;Acc:HGNC:6179]	3.8677208	
TINCR	TINCR ubiquitin domain containing [Source:HGNC Symbol;Acc:HGNC:14607]	3.861558	
BCL2L11	BCL2 like 11 [Source:HGNC Symbol;Acc:HGNC:994]	3.8584175	
ATP2A3	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3 [Source:HGNC Symbol;Acc:HGNC:813]	3.8374805	
PLAAT3	phospholipase A and acyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:17825]	3.776869	
SLC40A1	solute carrier family 40 member 1 [Source:HGNC Symbol;Acc:HGNC:10909]	3.769252	
PNMA6A	PNMA family member 6A [Source:HGNC Symbol;Acc:HGNC:28248]	3.7635188	
ADAM11	ADAM metallopeptidase domain 11 [Source:HGNC Symbol;Acc:HGNC:189]	3.750894	
FRZB	frizzled related protein [Source:HGNC Symbol;Acc:HGNC:3959]	3.7126067	
SHC2	SHC adaptor protein 2 [Source:HGNC Symbol;Acc:HGNC:29869]	3.7032378	
RGS16	regulator of G protein signaling 16 [Source:HGNC Symbol;Acc:HGNC:9997]	3.7001348	
HTRA3	HtrA serine peptidase 3 [Source:HGNC Symbol;Acc:HGNC:30406]	3.6780534	
RASL11B	RAS like family 11 member B [Source:HGNC Symbol;Acc:HGNC:23804]	3.651452	
NRTN	neurturin [Source:HGNC Symbol;Acc:HGNC:8007]	3.6319938	
NFKBIA	NFKB inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:7797]	3.630656	
HLA-V	major histocompatibility complex, class I, V (pseudogene) [Source:HGNC Symbol;Acc:HGNC:23482]	3.6146576	
SH3GL3	SH3 domain containing GRB2 like 3, endophilin A3 [Source:HGNC Symbol;Acc:HGNC:10832]	3.6030555	
ITPR1	inositol 1,4,5-trisphosphate receptor type 1 [Source:HGNC Symbol;Acc:HGNC:6180]	3.5933108	
HID1	HID1 domain containing [Source:HGNC Symbol;Acc:HGNC:15736]	3.5679314	
TNFSF9	TNF superfamily member 9 [Source:HGNC Symbol;Acc:HGNC:11939]	3.547331	
RPP25	ribonuclease P and MRP subunit p25 [Source:HGNC Symbol;Acc:HGNC:30361]	3.5374687	
RAI2	retinoic acid induced 2 [Source:HGNC Symbol;Acc:HGNC:9835]	3.518033	
FAM186B	family with sequence similarity 186 member B [Source:HGNC Symbol;Acc:HGNC:25296]	3.5109296	
PLEKHG6	pleckstrin homology and RhoGEF domain containing G6 [Source:HGNC Symbol;Acc:HGNC:25562]	3.4978411	
FRMD5	FERM domain containing 5 [Source:HGNC Symbol;Acc:HGNC:28214]	3.486489	
SNN	stannin [Source:HGNC Symbol;Acc:HGNC:11149]	3.4785233	
JAKMIP3	Janus kinase and microtubule interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:23523]	3.4707565	
RASD1	ras related dexamethasone induced 1 [Source:HGNC Symbol;Acc:HGNC:15828]	3.459889	
ARL4C	ADP ribosylation factor like GTPase 4C [Source:HGNC Symbol;Acc:HGNC:698]	3.4521103	
HYAL1	hyaluronidase 1 [Source:HGNC Symbol;Acc:HGNC:5320]	3.4376855	
CERS4	ceramide synthase 4 [Source:HGNC Symbol;Acc:HGNC:23747]	3.4348874	
KLRG1	killer cell lectin like receptor G1 [Source:HGNC Symbol;Acc:HGNC:6380]	3.4335964	
RUNX3	RUNX family transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:10473]	3.4274516	
SLC17A7	solute carrier family 17 member 7 [Source:HGNC Symbol;Acc:HGNC:16704]	3.4242864	
ENTPD8	ectonucleoside triphosphate diphosphohydrolase 8 [Source:HGNC Symbol;Acc:HGNC:24860]	3.4092746	
LRRC20	leucine rich repeat containing 20 [Source:HGNC Symbol;Acc:HGNC:23421]	3.3843112	
GJD2	gap junction protein delta 2 [Source:HGNC Symbol;Acc:HGNC:19154]	3.3777325	
FOLR3	folate receptor gamma [Source:HGNC Symbol;Acc:HGNC:3795]	3.3627443	
LRRC4B	leucine rich repeat containing 4B [Source:HGNC Symbol;Acc:HGNC:25042]	3.358698	
TMEM74	transmembrane protein 74 [Source:HGNC Symbol;Acc:HGNC:26409]	3.337612	
FAM117A	family with sequence similarity 117 member A [Source:HGNC Symbol;Acc:HGNC:24179]	3.3371716	
TLE1P1	TLE family member 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:39438]	3.3307667	
PGBD5	piggyBac transposable element derived 5 [Source:HGNC Symbol;Acc:HGNC:19405]	3.3132465	
AVPI1	arginine vasopressin induced 1 [Source:HGNC Symbol;Acc:HGNC:30898]	3.307449	
MMP15	matrix metallopeptidase 15 [Source:HGNC Symbol;Acc:HGNC:7161]	3.302754	
ARHGAP44	Rho GTPase activating protein 44 [Source:HGNC Symbol;Acc:HGNC:29096]	3.2885678	
ICOSLG	inducible T cell costimulator ligand [Source:HGNC Symbol;Acc:HGNC:17087]	3.275726	
TEPP	testis, prostate and placenta expressed [Source:HGNC Symbol;Acc:HGNC:33745]	3.2686472	
ADAP1	ArfGAP with dual PH domains 1 [Source:HGNC Symbol;Acc:HGNC:16486]	3.268601	
INPP5J	inositol polyphosphate-5-phosphatase J [Source:HGNC Symbol;Acc:HGNC:8956]	3.250917	
USP43	ubiquitin specific peptidase 43 [Source:HGNC Symbol;Acc:HGNC:20072]	3.2446249	
ZNF853	zinc finger protein 853 [Source:HGNC Symbol;Acc:HGNC:21767]	3.238895	
STARD10	StAR related lipid transfer domain containing 10 [Source:HGNC Symbol;Acc:HGNC:10666]	3.233743	
SALL2	spalt like transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:10526]	3.2325163	
THEM6	thioesterase superfamily member 6 [Source:HGNC Symbol;Acc:HGNC:29656]	3.2275882	
PHYHIP	phytanoyl-CoA 2-hydroxylase interacting protein [Source:HGNC Symbol;Acc:HGNC:16865]	3.2271943	
RBPMS2	RNA binding protein, mRNA processing factor 2 [Source:HGNC Symbol;Acc:HGNC:19098]	3.1853487	
RAB3IL1	RAB3A interacting protein like 1 [Source:HGNC Symbol;Acc:HGNC:9780]	3.1816075	
CLEC17A	C-type lectin domain containing 17A [Source:HGNC Symbol;Acc:HGNC:34520]	3.171812	
LRRC75A	leucine rich repeat containing 75A [Source:HGNC Symbol;Acc:HGNC:32403]	3.1702192	
NME9	NME/NM23 family member 9 [Source:HGNC Symbol;Acc:HGNC:21343]	3.1681356	
SAA1	serum amyloid A1 [Source:HGNC Symbol;Acc:HGNC:10513]	3.1576557	
MICB	MHC class I polypeptide-related sequence B [Source:HGNC Symbol;Acc:HGNC:7091]	3.1576169	
AQP3	aquaporin 3 (Gill blood group) [Source:HGNC Symbol;Acc:HGNC:636]	3.151002	
SLC16A6	solute carrier family 16 member 6 [Source:HGNC Symbol;Acc:HGNC:10927]	3.1420944	
GCK	glucokinase [Source:HGNC Symbol;Acc:HGNC:4195]	3.092861	
UAP1L1	UDP-N-acetylglucosamine pyrophosphorylase 1 like 1 [Source:HGNC Symbol;Acc:HGNC:28082]	3.092659	
PRR36	proline rich 36 [Source:HGNC Symbol;Acc:HGNC:26172]	3.0896199	
ROR2	receptor tyrosine kinase like orphan receptor 2 [Source:HGNC Symbol;Acc:HGNC:10257]	3.0775347	
EBF4	EBF family member 4 [Source:HGNC Symbol;Acc:HGNC:29278]	3.068623	
BDKRB1	bradykinin receptor B1 [Source:HGNC Symbol;Acc:HGNC:1029]	3.0680075	
