NAME	TITLE	SCORE	
SPATA17	spermatogenesis associated 17 [Source:HGNC Symbol;Acc:HGNC:25184]	4.46859	
SCNN1A	sodium channel epithelial 1 subunit alpha [Source:HGNC Symbol;Acc:HGNC:10599]	3.8925288	
MYH11	myosin heavy chain 11 [Source:HGNC Symbol;Acc:HGNC:7569]	3.3842103	
DPEP2	dipeptidase 2 [Source:HGNC Symbol;Acc:HGNC:23028]	3.2384214	
CORIN	corin, serine peptidase [Source:HGNC Symbol;Acc:HGNC:19012]	3.2121236	
SORBS1	sorbin and SH3 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:14565]	3.1772382	
DYSF	dysferlin [Source:HGNC Symbol;Acc:HGNC:3097]	3.13553	
CCDC39	coiled-coil domain containing 39 [Source:HGNC Symbol;Acc:HGNC:25244]	2.9953008	
PRSS51	serine protease 51 [Source:HGNC Symbol;Acc:HGNC:37321]	2.9574814	
GDF15	growth differentiation factor 15 [Source:HGNC Symbol;Acc:HGNC:30142]	2.9455533	
NKX3-2	NK3 homeobox 2 [Source:HGNC Symbol;Acc:HGNC:951]	2.943875	
SORBS2	sorbin and SH3 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24098]	2.9312158	
VTN	vitronectin [Source:HGNC Symbol;Acc:HGNC:12724]	2.8466387	
INMT	indolethylamine N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:6069]	2.8288567	
GASK1B	golgi associated kinase 1B [Source:HGNC Symbol;Acc:HGNC:25312]	2.7186236	
PTHLH	parathyroid hormone like hormone [Source:HGNC Symbol;Acc:HGNC:9607]	2.6581187	
EPPK1	epiplakin 1 [Source:HGNC Symbol;Acc:HGNC:15577]	2.6549525	
CFD	complement factor D [Source:HGNC Symbol;Acc:HGNC:2771]	2.6402261	
INPP5D	inositol polyphosphate-5-phosphatase D [Source:HGNC Symbol;Acc:HGNC:6079]	2.6036325	
GPR132	G protein-coupled receptor 132 [Source:HGNC Symbol;Acc:HGNC:17482]	2.5817003	
TSSK1A	testis specific serine kinase 1A (pseudogene) [Source:HGNC Symbol;Acc:HGNC:11400]	2.5524852	
EEF1A1P28	eukaryotic translation elongation factor 1 alpha 1 pseudogene 28 [Source:HGNC Symbol;Acc:HGNC:37902]	2.5505595	
TMEM61	transmembrane protein 61 [Source:HGNC Symbol;Acc:HGNC:27296]	2.5501597	
KLHDC7B	kelch domain containing 7B [Source:HGNC Symbol;Acc:HGNC:25145]	2.543486	
SAMD5	sterile alpha motif domain containing 5 [Source:HGNC Symbol;Acc:HGNC:21180]	2.532377	
SALL4	spalt like transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:15924]	2.5270202	
MFAP5	microfibril associated protein 5 [Source:HGNC Symbol;Acc:HGNC:29673]	2.526783	
CDKN2B	cyclin dependent kinase inhibitor 2B [Source:HGNC Symbol;Acc:HGNC:1788]	2.512117	
LDLRAD4	low density lipoprotein receptor class A domain containing 4 [Source:HGNC Symbol;Acc:HGNC:1224]	2.5101285	
HAS3	hyaluronan synthase 3 [Source:HGNC Symbol;Acc:HGNC:4820]	2.4808671	
AP3B2	adaptor related protein complex 3 subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:567]	2.4290583	
GRIN3B	glutamate ionotropic receptor NMDA type subunit 3B [Source:HGNC Symbol;Acc:HGNC:16768]	2.42161	
TMEM125	transmembrane protein 125 [Source:HGNC Symbol;Acc:HGNC:28275]	2.404995	
NIBAN3	niban apoptosis regulator 3 [Source:HGNC Symbol;Acc:HGNC:24130]	2.3796344	
EFHD1	EF-hand domain family member D1 [Source:HGNC Symbol;Acc:HGNC:29556]	2.3695807	
EBF1	EBF transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3126]	2.358314	
TBC1D30	TBC1 domain family member 30 [Source:HGNC Symbol;Acc:HGNC:29164]	2.3574257	
BTG2	BTG anti-proliferation factor 2 [Source:HGNC Symbol;Acc:HGNC:1131]	2.3431506	
MLC1	modulator of VRAC current 1 [Source:HGNC Symbol;Acc:HGNC:17082]	2.3344486	
ACTG2	actin gamma 2, smooth muscle [Source:HGNC Symbol;Acc:HGNC:145]	2.320764	
TSPAN18	tetraspanin 18 [Source:HGNC Symbol;Acc:HGNC:20660]	2.3176951	
CLDN1	claudin 1 [Source:HGNC Symbol;Acc:HGNC:2032]	2.3083289	
ITIH5	inter-alpha-trypsin inhibitor heavy chain 5 [Source:HGNC Symbol;Acc:HGNC:21449]	2.3075511	
